T01n0001    長阿含經【後秦 佛陀耶舍共竺佛念譯】
T01n0002    1  七佛經【宋 法天譯】
T01n0003    2  毘婆尸佛經【宋 法天譯】
T01n0004    1  七佛父母姓字經【失譯】
T01n0005    2  佛般泥洹經【西晉 白法祖譯】
T01n0006    2  般泥洹經【失譯】
T01n0007    3  大般涅槃經【東晉 法顯譯】
T01n0008    2  大堅固婆羅門緣起經【宋 施護等譯】
T01n0009    1  人仙經【宋 法賢譯】
T01n0010    3  白衣金幢二婆羅門緣起經【宋 施護等譯】
T01n0011    2  尼拘陀梵志經【宋 施護等譯】
T01n0012    2  大集法門經【宋 施護譯】
T01n0013    2  長阿含十報法經【後漢 安世高譯】
T01n0014    1  人本欲生經【後漢 安世高譯】
T01n0015    1  帝釋所問經【宋 法賢譯】
T01n0016    1  尸迦羅越六方禮經【後漢 安世高譯】
T01n0017    1  善生子經【宋 支法度譯】
T01n0018    1  信佛功德經【宋 法賢譯】
T01n0019    1  大三摩惹經【宋 法天譯】
T01n0020    1  佛開解梵志阿颰經【吳 支謙譯】
T01n0021    1  梵網六十二見經【吳 支謙譯】
T01n0022    1  寂志果經【東晉 竺曇無蘭譯】
T01n0023    6  大樓炭經【西晉 法立共法炬譯】
T01n0024   10  起世經【隋 闍那崛多等譯】
T01n0025   10  起世因本經【隋 達摩笈多譯】
T01n0026   60  中阿含經【東晉 瞿曇僧伽提婆譯】
T01n0027    1  七知經【吳 支謙譯】
T01n0028    1  園生樹經【宋 施護譯】
T01n0029    1  鹹水喻經【失譯】
T01n0030    1  薩鉢多酥哩踰捺野經【宋 法賢譯】
T01n0031    1  一切流攝守因經【後漢 安世高譯】
T01n0032    1  四諦經【後漢 安世高譯】
T01n0033    1  恒水經【西晉 法炬譯】
T01n0034    1  法海經【西晉 法炬譯】
T01n0035    1  海八德經【後秦 鳩摩羅什譯】
T01n0036    1  本相猗致經【後漢 安世高譯】
T01n0037    1  緣本致經【失譯】
T01n0038    1  輪王七寶經【宋 施護譯】
T01n0039    1  頂生王故事經【西晉 法炬譯】
T01n0040    1  文陀竭王經【北涼 曇無讖譯】
T01n0041    1  頻婆娑羅王經【宋 法賢譯】
T01n0042    1  鐵城泥犁經【東晉 竺曇無蘭譯】
T01n0043    1  閻羅王五天使者經【劉宋 慧簡譯】
T01n0044    1  古來世時經【失譯】
T01n0045    2  大正句王經【宋 法賢譯】
T01n0046    1  阿那律八念經【後漢 支曜譯】
T01n0047    1  離睡經【西晉 竺法護譯】
T01n0048    1  是法非法經【後漢 安世高譯】
T01n0049    1  求欲經【西晉 法炬譯】
T01n0050    1  受歲經【西晉 竺法護譯】
T01n0051    1  梵志計水淨經【失譯】
T01n0052    1  大生義經【宋 施護譯】
